english	spanish	accepted_es	accepted_en	split
i went to school	fui a la escuela	fui a la escuela|fui al colegio	i went to school	train
let me do that	déjame que lo haga	déjame que lo haga	let me do it|let me do that|let me do this	train
were learning french	estamos aprendiendo francés	estamos aprendiendo francés	were learning french	train
im going tomorrow	iré mañana	iré mañana	ill come tomorrow|im going tomorrow	train
thats enough !	¡ eso basta !	¡ eso basta !	thats enough !	train
we now work together	ahora trabajamos juntos	ahora trabajamos juntos	we now work together	train
no im english	no yo soy inglés	no soy inglés|no yo soy inglés	no i am english|no im english	train
this is nice	esto está bueno	esto es estupendo|esto está bien|esto está bueno	this is nice|this tastes good	train
that smells delicious	eso huele muy bien	eso huele muy bien	that smells delicious	train
hey you there !	¡ hey tú !	¡ hey tú !	hey you there !	train
my father works here	aquí trabaja mi padre	aquí trabaja mi padre	my father works here	train
you must go home	debes irte a casa	debes irte a casa	you must go home	train
its warm today	hoy hace calor	hoy hace calor	its hot today|its warm today	train
i saw nothing	yo no vi nada	yo no vi nada	i saw nothing	train
it sounds like tom	suena como tom	suena como tom	it sounds like tom	train
i know the song	conozco la canción	conozco la canción	i know the song	train
she does it fast	ella lo hace rápido	ella lo hace rápido	she does it fast	train
we are still alive	todavía estamos vivos	nosotros aún estamos vivos|todavía estamos vivos	we are still alive|were still alive	train
something changed	algo cambió	algo cambió	something changed	train
youre not canadian	no eres canadiense	no eres canadiense	you arent canadian|youre not canadian	train
it would be perfect	sería perfecto	sería perfecto	it would be perfect	train
it is raining now	está lloviendo ahora	ahora está lloviendo|está lloviendo ahora	it is raining now	train
you seem very scared	pareces muy asustado	pareces muy asustado	you seem very scared	train
my chicken is here	mi pollo está aquí	mi pollo está aquí	my chicken is here	train
tom cant work	tom no puede trabajar	tom no puede trabajar	tom cant work	train
she was surprised too	ella también estaba sorprendida	ella también estaba sorprendida	she was surprised too	train
its a good idea	es una buena idea	es una buena idea	its a good idea	train
i will wait outside	esperaré fuera	esperaré fuera	i will wait outside	train
the kids are sleeping	los niños duermen	los niños duermen	the kids are sleeping	train
my eyes are tired	tengo los ojos cansados	tengo los ojos cansados	my eyes are tired	train
yours is over there	el tuyo está allí	el tuyo está allí	yours is over there	train
i love flowers	adoro las flores	adoro las flores	i love flowers	train
ill make you happy	yo te haré feliz	te haré feliz|yo te haré feliz	ill make you happy	train
think about death	piensa en la muerte	piensa en la muerte	think about death	train
theyre right outside	están justo afuera	están justo afuera	theyre right outside	train
this book looks interesting	este libro parece interesante	este libro parece interesante	this book looks interesting|this book seems interesting	train
its too far away	está demasiado lejos	está demasiado lejos	its too far away	train
my dogs are white	mis perros son blancos	mis perros son blancos	my dogs are white	train
i like two men	me gustan dos hombres	me gustan dos hombres	i like two men	train
the girl is lonely	la chica está sola	la chica está sola	the girl is lonely	train
tom always believes me	tom siempre me cree	tom siempre me cree	tom always believes me	train
i didnt sleep well	no dormí bien	no dormí bien	i didnt sleep well	train
we will do it	lo haremos	lo haremos	we will do it|well do it	train
the woman is reading	la mujer está leyendo	la mujer está leyendo	the woman is reading	train
i started to cry	empecé a llorar	empecé a llorar	i began to cry|i started to cry	train
tom finally spoke	tom finalmente habló	tom finalmente habló	tom finally spoke	train
theyre not mine	no son los míos	no son los míos|no son míos	theyre not mine	train
she can sing	ella puede cantar	ella puede cantar	she can sing	train
tom was right	tom tenía razón	tom tenía razón	tom was right	train
nobody knows the truth	nadie sabe la verdad	nadie sabe la verdad	nobody knows the truth	train
ill show you where	te mostraré dónde es	te mostraré dónde es|te mostraré dónde está	ill show you where	train
tom isnt ready	tom no está listo	tom no está listo	tom isnt ready	train
you can speak english	tú puedes hablar inglés	tú puedes hablar inglés	you can speak english	train
sit down tom	siéntate tom	sentate tomás|siéntate tom	sit down tom	train
are you sick ?	¿ estás enfermo ?	¿ estás enferma ?|¿ estás enfermo ?	are you ill ?|are you sick ?	train
my life is here	mi vida está aquí	mi vida es aquí|mi vida está aquí	my life is here	train
i hate to fight	detesto pelear	detesto pelear|odio pelear	i hate fighting|i hate to fight	train
she spoke japanese well	ella habló bien japonés	ella habló bien japonés	she spoke japanese well	train
she looked lonely	parecía sola	ella lucía sola|parecía sola	she looked lonely	train
tom understands french	tom entiende francés	tom entiende francés	tom understands french	train
that will do	con eso tengo	con eso tengo|eso vale|será suficiente	that will do	train
i was happy then	entonces estaba feliz	entonces estaba feliz|yo era feliz entonces	i was happy then	train
i do nothing	no hago nada	no hago nada	i do nothing|i dont do anything	train
tom is very hungry	tom tiene mucha hambre	tom tiene mucha hambre	tom is very hungry	train
you like it ?	¿ te gusta ?	¿ te gusta ?	like it ?|you like it ?	train
i dont think so	no lo creo	no creo|no lo creo	i dont think so	train
i have monday off	tengo el lunes libre	tengo el lunes libre	i have monday off	train
choose carefully	elige con cuidado	elige con cuidado	choose carefully	train
what weather !	¡ qué tiempo !	¡ qué tiempo !	what weather !	train
wait outside	espera fuera	espera fuera	wait outside	train
we want to talk	queremos hablar	queremos hablar	we want to talk	train
the room is cold	la habitación está fría	la habitación está fría	the room is cold	train
i bought an umbrella	compré un paraguas	compré un paraguas	i bought an umbrella	train
he plays well	él juega bien	él juega bien	he plays well	train
tom speaks very quickly	tom habla muy rápido	tom habla muy rápido	tom speaks very quickly|tom talks very fast	train
her silence surprised me	su silencio me sorprendió	su silencio me sorprendió	her silence surprised me|his silence surprised me	train
its only a game	es solo un juego	es solo un juego	its only a game	train
he misled me	él me engañó	él me engañó	he cheated me|he cheated on me|he misled me	train
come swim with me	ven a nadar conmigo	ven a nadar conmigo	come swim with me	train
the meat is delicious	la carne está deliciosa	la carne está deliciosa	the meat is delicious	train
mary can swim	mary puede nadar	mary puede nadar|mary sabe nadar	mary can swim	train
thats me	soy yo	ese soy yo|soy yo	it is i|its me|its me !|thats me	train
thats perfect	eso es perfecto	eso es perfecto	thats perfect	train
tom works	tomás trabaja	tomás trabaja	tom works	train
thats mine	ése es mío	eso es mío|ése es mío	thats mine	train
he bought a car	él compró un coche	él compró un coche	he bought a car	train
she talks too fast	ella habla demasiado rápido	ella habla demasiado rápido	she talks too fast	train
she might be french	ella podría ser francesa	ella podría ser francesa|puede que sea francesa	she may be french|she might be french	train
tom has long hair	tomás tiene pelo largo	tomás tiene pelo largo	tom has long hair	train
hes studying	él está estudiando	él está estudiando	hes studying|hes studying now	train
thanks again for everything	gracias nuevamente por todo	gracias nuevamente por todo	thanks again for everything	train
im watching the news	estoy viendo las noticias	estoy viendo las noticias	im watching the news	train
i wont go	no voy a ir	no iré|no voy a ir	i wont go|im not going	train
i like to cook	me gusta cocinar	me gusta cocinar	i like cooking|i like to cook	train
speak clearly !	¡ habla claramente !	¡ habla claramente !	speak clearly !	train
this is our room	este es nuestro cuarto	este es nuestro cuarto	this is our room	train
were doing something	estamos haciendo algo	estamos haciendo algo	were doing something	train
no one will know	nadie lo sabrá	nadie lo sabrá|nadie sabrá	no one will know	train
we dont have tea	no tenemos té	no tenemos té	we dont have tea	train
we missed our train	perdimos nuestro tren	perdimos nuestro tren	we missed our train	train
keep quiet !	¡ quédate tranquilo !	¡ quédate tranquilo !	keep quiet !	train
im totally drunk	estoy totalmente borracho	estoy totalmente borracho	im totally drunk	train
no thanks im pregnant	no gracias estoy embarazada	no gracias estoy embarazada	no thanks im pregnant	train
this cat is eating	este gato está comiendo	este gato está comiendo	this cat is eating	train
you need it	lo necesitas	lo necesitas|usted lo necesita	you need it	train
he gave up	lo dejó	lo dejó	he gave up	train
tom seems clever	tom parece listo	tom parece listo	tom seems clever	train
so far so good	hasta ahora bien	hasta ahora bien	so far so good	train
mary has hope	mary tiene esperanza	mary tiene esperanza	mary has hope	train
i want to go	quiero ir	quiero ir	i want to go	train
they are my friends	ellos son mis amigos	ellos son mis amigos	they are my friends|theyre my friends	train
he doesnt know me	él no me conoce	él no me conoce	he doesnt know me	train
can we go ?	¿ podemos ir ?	¿ podemos ir ?|¿ podemos irnos ?	can we go ?	train
people are good	la gente es buena	la gente es buena	people are good	train
think before you speak	piensa antes de hablar	piensa antes de hablar	think before you speak	train
they work at night	trabajan de noche	trabajan de noche	they work at night	train
she answered me back	ella me respondió	ella me respondió	she answered me back	train
whats the deal ?	¿ qué pasa ?	¿ qué pasa ?	whats going on ?|whats that about ?|whats the deal ?|whats the matter ?	train
its a small world	el mundo es pequeño	el mundo es pequeño	its a small world|the world is small	train
im coming right away	vengo enseguida	vengo enseguida	im coming right away	train
its totally normal	es totalmente normal	es totalmente normal	its completely normal|its totally normal	train
it was really boring	era verdaderamente aburrido	era verdaderamente aburrido	it was really boring	train
these dogs are big	estos perros son grandes	estos perros son grandes	these dogs are big	train
i will study german	voy a estudiar alemán	voy a estudiar alemán	i will study german	train
